
STA            LAT          LON     ELEV STAT     ONDATE    OFFDATE STANAME
EKB3      55.32464     -3.16696     .312 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB4      55.33170     -3.16120     .301 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB4
EKB4      55.33168     -3.15963     .299 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB4      55.33170     -3.16120     .301 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB4
EKB5      55.33914     -3.15441     .310 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB5      55.33930     -3.15631     .313 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB5
EKB5      55.33930     -3.15631     .313 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB5
EKB6      55.34660     -3.14920     .338 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB6      55.34660     -3.15065     .337 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB6
EKB6      55.34660     -3.15065     .337 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB6
EKB7      55.35406     -3.14399     .436 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB7      55.35410     -3.14536     .435 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB7
EKB7      55.35410     -3.14536     .435 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB7
EKB8      55.36180     -3.13975     .401 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB8
EKB8      55.36266     -3.13806     .405 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB8      55.36180     -3.13975     .401 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB8
